PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr20-1087	chr20	25057164	25057435	+	1	NA	intron (ENST00000432802.6, intron 1 of 11)	protein_coding-intron (ENST00000323482.9, intron 1 of 13)	840	ENST00000323482.9	ENSG00000154930	ENST00000484396			ACSS1			protein_coding
chr2-325	chr2	130836865	130837147	+	1	NA	promoter-TSS (ENST00000409359.7)	protein_coding-promoter-TSS (ENST00000409359.7)	-12	ENST00000429282.5	ENSG00000233221	ENST00000660150			ARHGEF4-AS1			lncRNA
chr9-151	chr9	4507680	4507963	+	1	NA	intron (ENST00000262352.8, intron 1 of 11)	protein_coding-intron (ENST00000262352.8, intron 1 of 11)	17353	ENST00000262352.8	ENSG00000106688	ENST00000422398			SLC1A1			protein_coding
chr17-407	chr17	61370050	61370296	+	1	NA	intron (ENST00000592702.5, intron 3 of 3)	protein_coding-intron (ENST00000390652.9, intron 24 of 24)	-7657	ENST00000587872.1	ENSG00000141376	ENST00000626960			BCAS3			protein_coding
chr14-421	chr14	95534455	95534715	+	1	NA	promoter-TSS (ENST00000331334.5)	protein_coding-promoter-TSS (ENST00000331334.5)	1	ENST00000555866.5	ENSG00000247092	ENST00000685307			SNHG10			lncRNA
chr8-82	chr8	102239192	102239443	+	1	NA	promoter-TSS (ENST00000251810.8)	protein_coding-promoter-TSS (ENST00000251810.8)	-69	ENST00000520820.3	ENSG00000246263	ENST00000520820			UBR5-DT			lncRNA
chr20-1775	chr20	48819803	48819865	+	1	NA	intron (ENST00000371941.4, intron 1 of 39)	protein_coding-intron (ENST00000371941.4, intron 1 of 39)	8165	ENST00000371941.4	ENSG00000124126	ENST00000496915			PREX1			protein_coding
chr20-1296	chr20	60209104	60209305	+	1	NA	intron (ENST00000664403.1, intron 9 of 9)	lncRNA-intron (ENST00000421257.1, intron 1 of 2)	28316	ENST00000427820.1	ENSG00000228340	ENST00000671305			MIR646HG			lncRNA
chr1-570	chr1	1504855	1505066	+	1	NA	promoter-TSS (ENST00000692936.1)	lncRNA-promoter-TSS (ENST00000692936.1)	-711	ENST00000692936.1	ENSG00000290916	ENST00000692936			ENSG00000290916			lncRNA
chr6-261	chr6	15817173	15817396	+	1	NA	intron (ENST00000702049.1, intron 1 of 2)	lncRNA-intron (ENST00000702049.1, intron 1 of 2)	12639	ENST00000702049.1	ENSG00000289953	ENST00000702049			ENSG00000289953			lncRNA
chr8-45	chr8	141041583	141041762	+	1	NA	Intergenic	Intergenic	-13618	ENST00000517606.1	ENSG00000253266	ENST00000517606			ENSG00000253266			lncRNA
chr20-1298	chr20	62652695	62652927	+	1	NA	promoter-TSS (ENST00000620143.1)	lncRNA-promoter-TSS (ENST00000620143.1)	-625	ENST00000620143.1	ENSG00000276317	ENST00000620143			ENSG00000276317			lncRNA
chr10-7	chr10	97849151	97849404	+	1	NA	promoter-TSS (ENST00000370602.6)	protein_coding-promoter-TSS (ENST00000370602.6)	521	ENST00000427379.2	ENSG00000227356	ENST00000427379			GOLGA7B-DT			lncRNA
chr20-225	chr20	57110089	57110318	+	1	NA	promoter-TSS (ENST00000652038.1)	lncRNA-promoter-TSS (ENST00000652038.1)	-437	ENST00000652038.1	ENSG00000203266	ENST00000652038			ENSG00000203266			lncRNA
chr16-183	chr16	15888526	15888774	+	1	NA	promoter-TSS (ENST00000255759.11)	protein_coding-promoter-TSS (ENST00000255759.11)	-25	ENST00000573087.5	ENSG00000133393	ENST00000572415			CEP20			protein_coding
chr17-353	chr17	74758373	74758414	+	1	NA	intron (ENST00000583369.5, intron 1 of 2)	protein_coding-intron (ENST00000262613.10, intron 1 of 5)	-3610	ENST00000413388.2	ENSG00000109062	ENST00000413388			NHERF1			protein_coding
chr14-405	chr14	90508925	90509188	+	1	NA	Intergenic	Intergenic	-17419	ENST00000567837.1	ENSG00000259789	ENST00000647570			ENSG00000259789			lncRNA
chr17-1385	chr17	68011170	68011468	+	1	NA	Intergenic	Intergenic	-14850	ENST00000580729.3	ENSG00000186665	ENST00000536693			C17orf58			protein_coding
chr9-49	chr9	132799022	132799245	+	1	NA	intron (ENST00000477396.5, intron 12 of 14)	protein_coding-intron (ENST00000298545.4, intron 10 of 12)	-28921	ENST00000451318.2	ENSG00000224992	ENST00000451318			ENSG00000224992			lncRNA
chr16-147	chr16	57816444	57816698	+	1	NA	exon (ENST00000335616.3, exon 4 of 4)	lncRNA-exon (ENST00000335616.3, exon 4 of 4)	5934	ENST00000335616.3	ENSG00000187185	ENST00000620696			ENSG00000187185			lncRNA
chr7-21	chr7	1455279	1455508	+	1	NA	intron (ENST00000472100.5, intron 1 of 15)	protein_coding-intron (ENST00000297508.8, intron 1 of 16)	3972	ENST00000472100.5	ENSG00000164877	ENST00000472100			MICALL2			protein_coding
chr2-113	chr2	218444578	218444810	+	1	NA	intron (ENST00000392114.6, intron 14 of 14)	protein_coding-intron (ENST00000248444.10, intron 19 of 19)	12179	ENST00000419986.1	ENSG00000127831	ENST00000392114			VIL1			protein_coding
chr5-28	chr5	96935796	96936071	+	1	NA	promoter-TSS (ENST00000231368.10)	protein_coding-promoter-TSS (ENST00000231368.10)	-112	ENST00000702626.1	ENSG00000247121	ENST00000502262			ENSG00000247121			lncRNA
chr19-41	chr19	535084	535351	+	1	NA	promoter-TSS (ENST00000606065.3)	protein_coding-promoter-TSS (ENST00000606065.3)	-620	ENST00000606065.3	ENSG00000099804	ENST00000586788			CDC34			protein_coding
chr10-38	chr10	45470638	45470913	+	1	NA	intron (ENST00000602712.2, intron 3 of 4)	protein_coding-intron (ENST00000319836.7, intron 3 of 6)	-8571	ENST00000476962.1	ENSG00000165406	ENST00000602712			MARCHF8			protein_coding
chr8-191	chr8	97277890	97278029	+	1	NA	promoter-TSS (ENST00000322128.5)	protein_coding-promoter-TSS (ENST00000322128.5)	-31	ENST00000322128.5	ENSG00000180543	ENST00000322128			TSPYL5			protein_coding
chr2-481	chr2	101113429	101113718	+	1	NA	intron (ENST00000463469.5, intron 4 of 4)	protein_coding-intron (ENST00000376840.8, intron 1 of 19)	-3610	ENST00000487392.1	ENSG00000204634	ENST00000409318			TBC1D8			protein_coding
chr6-43	chr6	7389871	7390156	+	1	NA	promoter-TSS (ENST00000296742.11)	protein_coding-promoter-TSS (ENST00000296742.11)	205	ENST00000379834.7	ENSG00000124784	ENST00000493691			RIOK1			protein_coding
chr17-1871	chr17	77286189	77286409	+	1	NA	promoter-TSS (ENST00000590576.5)	protein_coding-promoter-TSS (ENST00000590576.5)	-8	ENST00000590576.5	ENSG00000184640	ENST00000588958			SEPTIN9			protein_coding
chr16-305	chr16	90044096	90044351	+	1	NA	TTS (ENST00000536122.7)	protein_coding-TTS (ENST00000536122.7)	387	ENST00000409768.2	ENSG00000290738	ENST00000521551			URAHP			lncRNA
chr6-140	chr6	82570148	82570376	+	1	NA	Intergenic	Intergenic	206018	ENST00000543496.3	ENSG00000146242	ENST00000369750			TPBG			protein_coding
chr20-7	chr20	45972160	45972408	+	1	NA	promoter-TSS (ENST00000322927.3)	protein_coding-promoter-TSS (ENST00000322927.3)	-81	ENST00000322927.3	ENSG00000198026	ENST00000475002			ZNF335			protein_coding
chr4-45	chr4	6640428	6640708	+	1	NA	promoter-TSS (ENST00000382581.5)	protein_coding-promoter-TSS (ENST00000382581.5)	-117	ENST00000382581.5	ENSG00000179010	ENST00000382581			MRFAP1			protein_coding
chr4-82	chr4	105473919	105474129	+	1	NA	promoter-TSS (ENST00000341695.10)	protein_coding-promoter-TSS (ENST00000341695.10)	8	ENST00000502610.1	ENSG00000138777	ENST00000499847			PPA2			protein_coding
chr16-85	chr16	707323	707466	+	1	NA	promoter-TSS (ENST00000623057.2)	TEC-promoter-TSS (ENST00000623057.2)	-256	ENST00000623057.2	ENSG00000279255	ENST00000623057			ENSG00000279255			TEC
chr2-357	chr2	217988240	217988490	+	1	NA	intron (ENST00000465306.1, intron 1 of 1)	protein_coding-intron (ENST00000446903.5, intron 2 of 18)	2649	ENST00000651849.1	ENSG00000079308	ENST00000453356			TNS1			protein_coding
chr2-504-2	chr2	128091277	128091326	+	1	NA	promoter-TSS (ENST00000376723.7)	protein_coding-promoter-TSS (ENST00000376723.7)	90	ENST00000376723.7	ENSG00000136731	ENST00000376723			UGGT1			protein_coding
chr7-577	chr7	151745326	151745435	+	1	NA	intron (ENST00000651378.1, intron 1 of 13)	protein_coding-intron (ENST00000287878.9, intron 3 of 15)	8759	ENST00000702993.1	ENSG00000290095	ENST00000702993			ENSG00000290095			lncRNA
chr5-69	chr5	33440804	33440979	+	1	NA	promoter-TSS (ENST00000265112.8)	protein_coding-promoter-TSS (ENST00000265112.8)	-73	ENST00000508361.5	ENSG00000113407	ENST00000504698			TARS1			protein_coding
chr1-113	chr1	151511725	151511986	+	1	NA	intron (ENST00000271636.12, intron 1 of 20)	protein_coding-intron (ENST00000271636.12, intron 1 of 20)	468	ENST00000271636.12	ENSG00000143375	ENST00000502442			CGN			protein_coding
chr20-1616	chr20	25310360	25310658	+	1	NA	promoter-TSS (ENST00000481556.1)	protein_coding-promoter-TSS (ENST00000481556.1)	-37	ENST00000481556.1	ENSG00000100997	ENST00000673227			ABHD12			protein_coding
chr17-1431	chr17	7478981	7479209	+	1	NA	intron (ENST00000311403.4, intron 1 of 3)	protein_coding-intron (ENST00000311403.4, intron 1 of 3)	536	ENST00000380599.9	ENSG00000174282	ENST00000380599			ZBTB4			protein_coding
chr1-840	chr1	174159736	174159975	+	1	NA	promoter-TSS (ENST00000430592.1)	lncRNA-promoter-TSS (ENST00000430592.1)	149	ENST00000419983.5	ENSG00000227373	ENST00000659243			RABGAP1L-DT			lncRNA
chr3-159	chr3	64684993	64685162	+	1	NA	promoter-TSS (ENST00000474768.5)	lncRNA-promoter-TSS (ENST00000474768.5)	-3	ENST00000691998.1	ENSG00000241684	ENST00000460833			ADAMTS9-AS2			lncRNA
chr20-38	chr20	50795120	50795367	+	1	NA	intron (ENST00000609336.5, intron 1 of 5)	protein_coding-intron (ENST00000358791.9, intron 1 of 5)	143	ENST00000485049.1	ENSG00000124243	ENST00000485049			BCAS4			protein_coding
chr1-481	chr1	117059342	117059515	+	1	NA	promoter-TSS (ENST00000369466.9)	protein_coding-promoter-TSS (ENST00000369466.9)	62	ENST00000445523.1	ENSG00000236137	ENST00000421254			CD101-AS1			lncRNA
chr9-102	chr9	109331406	109331699	+	1	NA	Intergenic	Intergenic	6867	ENST00000384599.1	ENSG00000207329	ENST00000384599			Y_RNA			misc_RNA
chr15-161	chr15	74789387	74789636	+	1	NA	promoter-TSS (ENST00000581077.1)	miRNA-promoter-TSS (ENST00000581077.1)	-754	ENST00000581077.1	ENSG00000264386	ENST00000581077			MIR4513			miRNA
chr15-5	chr15	72231198	72231480	+	1	NA	promoter-TSS (ENST00000319622.10)	protein_coding-promoter-TSS (ENST00000319622.10)	47	ENST00000389093.7	ENSG00000067225	ENST00000564993			PKM			protein_coding
chr15-134	chr15	50089451	50089656	+	1	NA	intron (ENST00000674213.1, intron 2 of 11)	protein_coding-intron (ENST00000284509.11, intron 2 of 27)	23763	ENST00000559726.5	ENSG00000104043	ENST00000560479			ATP8B4			protein_coding
chr9-31	chr9	130854139	130854418	+	1	NA	TTS (ENST00000393293.4)	protein_coding-TTS (ENST00000393293.4)	19024	ENST00000318560.6	ENSG00000097007	ENST00000393293			ABL1			protein_coding
chr17-1389	chr17	74982172	74982322	+	1	NA	Intergenic	Intergenic	-5385	ENST00000337231.5	ENSG00000109089	ENST00000337231			CDR2L			protein_coding
chr1-352	chr1	169893901	169894160	+	1	NA	promoter-TSS (ENST00000367771.11)	protein_coding-promoter-TSS (ENST00000367771.11)	-71	ENST00000367772.8	ENSG00000000457	ENST00000423670			SCYL3			protein_coding
chr20-141	chr20	57251161	57251169	+	1	NA	intron (ENST00000450594.6, intron 1 of 5)	protein_coding-intron (ENST00000395863.8, intron 1 of 6)	-7131	ENST00000530870.1	ENSG00000101144	ENST00000450594			BMP7			protein_coding
chr18-11	chr18	36129317	36129423	+	1	NA	promoter-TSS (ENST00000269187.10)	protein_coding-promoter-TSS (ENST00000269187.10)	11	ENST00000590986.5	ENSG00000141424	ENST00000586829			SLC39A6			protein_coding
chr17-1869	chr17	76584968	76585120	+	1	NA	intron (ENST00000585736.1, intron 1 of 4)	protein_coding-intron (ENST00000225276.10, intron 1 of 8)	812	ENST00000588120.5	ENSG00000070731	ENST00000586520			ST6GALNAC2			protein_coding
chr11-307-2	chr11	66372111	66372128	+	1	NA	promoter-TSS (ENST00000311161.11)	protein_coding-promoter-TSS (ENST00000311161.11)	-20	ENST00000311161.11	ENSG00000174669	ENST00000544554			SLC29A2			protein_coding
chr6-241	chr6	169751734	169751890	+	1	NA	promoter-TSS (ENST00000366774.4)	protein_coding-promoter-TSS (ENST00000366774.4)	15	ENST00000588451.1	ENSG00000130023	ENST00000477995			ERMARD			protein_coding
chr7-350	chr7	1537062	1537266	+	1	NA	promoter-TSS (ENST00000403150.5)	protein_coding-promoter-TSS (ENST00000403150.5)	-323	ENST00000403150.5	ENSG00000198517	ENST00000406174			MAFK			protein_coding
chr17-841	chr17	47649186	47649480	+	1	NA	promoter-TSS (ENST00000290158.9)	protein_coding-promoter-TSS (ENST00000290158.9)	69	ENST00000582389.5	ENSG00000263766	ENST00000582389			KPNB1-DT			lncRNA
chr20-1936	chr20	54898645	54898848	+	1	NA	Intergenic	Intergenic	-38934	ENST00000516280.1	ENSG00000252089	ENST00000516280			RNU4ATAC7P			snRNA
chr7-60	chr7	152464389	152464608	+	1	NA	exon (ENST00000564834.1, exon 1 of 1)	lncRNA-exon (ENST00000564834.1, exon 1 of 1)	712	ENST00000564834.1	ENSG00000261455	ENST00000564834			LINC01003			lncRNA
chr16-321	chr16	2015437	2015560	+	1	NA	intron (ENST00000567649.1, intron 1 of 2)	protein_coding-intron (ENST00000567649.1, intron 1 of 2)	2317	ENST00000582872.2	ENSG00000265386	ENST00000582872			RN7SL219P			misc_RNA
chr14-286	chr14	105602824	105603001	+	1	NA	Intergenic	Intergenic	-1184	ENST00000390541.2	ENSG00000211891	ENST00000641420			IGHE			IG_C_gene
chr14-54	chr14	90396898	90397197	+	1	NA	promoter-TSS (ENST00000356978.9)	protein_coding-promoter-TSS (ENST00000356978.9)	7	ENST00000553630.1	ENSG00000198668	ENST00000554296			CALM1			protein_coding
chr1-557	chr1	228739380	228739614	+	1	NA	intron (ENST00000366691.4, intron 2 of 2)	protein_coding-intron (ENST00000366691.4, intron 2 of 2)	4018	ENST00000366691.4	ENSG00000116574	ENST00000366691			RHOU			protein_coding
chr1-185	chr1	116374102	116374319	+	1	NA	exon (ENST00000537345.5, exon 1 of 23)	protein_coding-exon (ENST00000537345.5, exon 1 of 23)	343	ENST00000537345.5	ENSG00000163399	ENST00000418797			ATP1A1			protein_coding
chr7-141	chr7	103347531	103347805	+	1	NA	promoter-TSS (ENST00000292644.5)	protein_coding-promoter-TSS (ENST00000292644.5)	-3	ENST00000425206.6	ENSG00000161057	ENST00000678493			PSMC2			protein_coding
chr16-13	chr16	25258111	25258400	+	1	NA	promoter-TSS (ENST00000328086.12)	protein_coding-promoter-TSS (ENST00000328086.12)	303	ENST00000612792.1	ENSG00000274925	ENST00000612792			ZKSCAN2-DT			lncRNA
chr3-190	chr3	15634191	15634468	+	1	NA	intron (ENST00000672336.1, intron 2 of 3)	protein_coding-intron (ENST00000303498.10, intron 2 of 4)	4327	ENST00000482824.2	ENSG00000169814	ENST00000646371			BTD			protein_coding
chr15-271	chr15	90265706	90265782	+	1	NA	promoter-TSS (ENST00000331497.3)	protein_coding-promoter-TSS (ENST00000331497.3)	72	ENST00000379095.5	ENSG00000182768	ENST00000379095			NGRN			protein_coding
chrX-31	chrX	123860078	123860148	+	1	NA	promoter-TSS (ENST00000355640.3)	protein_coding-promoter-TSS (ENST00000355640.3)	60	ENST00000371199.8	ENSG00000101966	ENST00000468691			XIAP			protein_coding
chr11-80	chr11	67288471	67288742	+	1	NA	promoter-TSS (ENST00000308440.11)	protein_coding-promoter-TSS (ENST00000308440.11)	-694	ENST00000512101.5	ENSG00000172932	ENST00000514779			ANKRD13D			protein_coding
chr8-123	chr8	30722986	30723200	+	1	NA	intron (ENST00000643653.1, intron 1 of 13)	protein_coding-intron (ENST00000221130.11, intron 1 of 12)	3852	ENST00000643525.1	ENSG00000104687	ENST00000643525			GSR			protein_coding
chr2-1	chr2	11498580	11498874	+	1	NA	intron (ENST00000628795.2, intron 1 of 2)	protein_coding-intron (ENST00000628795.2, intron 1 of 2)	16386	ENST00000628795.2	ENSG00000196208	ENST00000432985			GREB1			protein_coding
chr6-307	chr6	36617046	36617287	+	1	NA	Intergenic	Intergenic	5346	ENST00000584674.1	ENSG00000263894	ENST00000584674			MIR3925			miRNA
chr19-39	chr19	45079095	45079326	+	1	NA	promoter-TSS (ENST00000270257.9)	protein_coding-promoter-TSS (ENST00000270257.9)	15	ENST00000591607.1	ENSG00000142252	ENST00000592351			GEMIN7			protein_coding
chr11-168	chr11	112025178	112025420	+	1	NA	promoter-TSS (ENST00000280346.11)	protein_coding-promoter-TSS (ENST00000280346.11)	-109	ENST00000533297.1	ENSG00000150768	ENST00000527231			DLAT			protein_coding
chr1-433	chr1	53107629	53107912	+	1	NA	TTS (ENST00000371491.4)	protein_coding-TTS (ENST00000371491.4)	-6806	ENST00000439621.1	ENSG00000235563	ENST00000439621			ENSG00000235563			lncRNA
chr17-296	chr17	5078261	5078545	+	1	NA	promoter-TSS (ENST00000318833.4)	protein_coding-promoter-TSS (ENST00000318833.4)	-64	ENST00000318833.4	ENSG00000180787	ENST00000318833			ZFP3			protein_coding
chr17-820	chr17	81057116	81057361	+	1	NA	promoter-TSS (ENST00000572073.5)	protein_coding-promoter-TSS (ENST00000572073.5)	-98	ENST00000573659.5	ENSG00000175866	ENST00000577097			BAIAP2			protein_coding
chr19-167	chr19	10653865	10654006	+	1	NA	promoter-TSS (ENST00000407004.8)	protein_coding-promoter-TSS (ENST00000407004.8)	-60	ENST00000591501.2	ENSG00000267100	ENST00000591501			ILF3-DT			lncRNA
chr6-196	chr6	42929398	42929628	+	1	NA	promoter-TSS (ENST00000372836.5)	protein_coding-promoter-TSS (ENST00000372836.5)	33	ENST00000372836.5	ENSG00000137161	ENST00000372836			CNPY3			protein_coding
chr17-589	chr17	61687832	61688012	+	1	NA	intron (ENST00000684769.1, intron 5 of 7)	protein_coding-intron (ENST00000259008.7, intron 18 of 19)	28849	ENST00000684626.1	ENSG00000136492	ENST00000682453			BRIP1			protein_coding
chr2-81	chr2	160221800	160221999	+	1	NA	intron (ENST00000485635.1, intron 1 of 9)	lncRNA-intron (ENST00000485635.1, intron 1 of 9)	-21586	ENST00000620391.4	ENSG00000115221	ENST00000409583			ITGB6			protein_coding
chr16-132	chr16	88926327	88926588	+	1	NA	intron (ENST00000563640.1, intron 1 of 2)	protein_coding-intron (ENST00000268679.9, intron 1 of 11)	11299	ENST00000561980.1	ENSG00000261226	ENST00000564646			ENSG00000261226			lncRNA
chr20-29	chr20	47432563	47432762	+	1	NA	Intergenic	Intergenic	-20335	ENST00000437920.1	ENSG00000224565	ENST00000655691			LINC01754			lncRNA
chr20-165	chr20	47011981	47012264	+	1	NA	intron (ENST00000611592.4, intron 4 of 14)	protein_coding-intron (ENST00000317304.10, intron 3 of 13)	10662	ENST00000458636.2	ENSG00000064655	ENST00000357410			EYA2			protein_coding
chr17-818	chr17	79831865	79832002	+	1	NA	Intergenic	Intergenic	5948	ENST00000495122.1	ENSG00000141582	ENST00000448310			CBX4			protein_coding
chr9-92	chr9	136996494	136996740	+	1	NA	promoter-TSS (ENST00000473911.1)	protein_coding-promoter-TSS (ENST00000473911.1)	-49	ENST00000494426.2	ENSG00000169583	ENST00000480181			CLIC3			protein_coding
chr8-282	chr8	100952508	100952794	+	1	NA	promoter-TSS (ENST00000395958.6)	protein_coding-promoter-TSS (ENST00000395958.6)	-32	ENST00000418997.1	ENSG00000164924	ENST00000523938			YWHAZ			protein_coding
chr16-327	chr16	2776608	2776644	+	1	NA	promoter-TSS (ENST00000621230.1)	lncRNA-promoter-TSS (ENST00000621230.1)	163	ENST00000688784.1	ENSG00000103363	ENST00000409906			ELOB			protein_coding
chr1-761	chr1	120069392	120069602	+	1	NA	promoter-TSS (ENST00000651371.1)	protein_coding-promoter-TSS (ENST00000651371.1)	119	ENST00000652302.1	ENSG00000134250	ENST00000256646			NOTCH2			protein_coding
chr10-156	chr10	71970326	71970625	+	1	NA	intron (ENST00000373115.5, intron 1 of 2)	protein_coding-intron (ENST00000373115.5, intron 1 of 2)	6080	ENST00000373115.5	ENSG00000122863	ENST00000373115			CHST3			protein_coding
chr19-145	chr19	47515322	47515574	+	1	NA	promoter-TSS (ENST00000263354.8)	protein_coding-promoter-TSS (ENST00000263354.8)	-357	ENST00000597274.5	ENSG00000105402	ENST00000263354			NAPA			protein_coding
chr20-728	chr20	57217360	57217457	+	1	NA	intron (ENST00000530870.1, intron 2 of 2)	protein_coding-intron (ENST00000395863.8, intron 2 of 6)	2536	ENST00000445956.1	ENSG00000235032	ENST00000445956			BMP7-AS1			lncRNA
chr17-847	chr17	51153397	51153696	+	1	NA	promoter-TSS (ENST00000013034.3)	protein_coding-promoter-TSS (ENST00000013034.3)	-13	ENST00000393196.8	ENSG00000239672	ENST00000475573			NME1			protein_coding
chr1-398	chr1	11805693	11805947	+	1	NA	promoter-TSS (ENST00000312413.10)	protein_coding-promoter-TSS (ENST00000312413.10)	116	ENST00000418034.1	ENSG00000177000	ENST00000413656			MTHFR			protein_coding
chr21-2	chr21	42376384	42376622	+	1	NA	intron (ENST00000652415.1, intron 11 of 12)	protein_coding-intron (ENST00000398405.5, intron 10 of 11)	6250	ENST00000478680.1	ENSG00000160183	ENST00000478680			TMPRSS3			protein_coding
chr9-124	chr9	89686127	89686386	+	1	NA	intron (ENST00000617436.2, intron 3 of 5)	lncRNA-intron (ENST00000617436.2, intron 3 of 5)	-10156	ENST00000650746.1	ENSG00000237372	ENST00000617436			LINC03062			lncRNA
chr1-20	chr1	109240149	109240431	+	1	NA	Intergenic	Intergenic	4059	ENST00000468588.1	ENSG00000031698	ENST00000468588			SARS1			protein_coding
chr5-211-2	chr5	180810487	180810624	+	1	NA	promoter-TSS (ENST00000393340.7)	protein_coding-promoter-TSS (ENST00000393340.7)	-50	ENST00000508702.1	ENSG00000131446	ENST00000446023			MGAT1			protein_coding
chr2-265-2	chr2	20071650	20071904	+	1	NA	intron (ENST00000430429.1, intron 1 of 1)	lncRNA-intron (ENST00000430429.1, intron 1 of 1)	19643	ENST00000688203.1	ENSG00000223734	ENST00000688203			LAPTM4A-DT			lncRNA
